front_rim_distance,sensor_height,diameter,ddr,dp,cr
15.0,0.5,5.0,0.05,0.0,0.0
15.0,0.5,5.0,0.060000000000000005,0.0,0.0
15.0,0.5,5.0,0.07,0.0,0.0
15.0,0.5,5.0,0.08000000000000002,0.0,0.0
15.0,0.5,5.0,0.09000000000000001,0.0,0.0
15.0,0.5,5.0,0.1,0.0,0.0
15.0,0.5,5.0,0.11000000000000001,0.0,0.0
15.0,0.5,5.0,0.12000000000000001,0.0,0.0
15.0,0.5,5.0,0.13,0.0,0.0
15.0,0.5,5.0,0.14,0.0,0.0
15.0,0.5,5.0,0.15000000000000002,0.0,0.0
15.0,0.5,5.0,0.16000000000000003,0.0,0.0
15.0,0.5,5.0,0.17000000000000004,0.0,0.0
15.0,0.5,5.0,0.18000000000000005,0.0,0.0
15.0,0.5,5.0,0.19,0.0,0.0
15.0,0.5,5.0,0.2,0.0,0.0
15.0,0.5,5.0,0.21000000000000002,0.0,0.0
15.0,0.5,5.0,0.22000000000000003,0.0,0.0
15.0,0.5,5.0,0.23000000000000004,0.0,0.0
15.0,0.5,5.0,0.24000000000000005,0.0,0.0
15.0,0.5,5.0,0.25000000000000006,0.0,0.0
15.0,0.5,5.0,0.26000000000000006,0.0,0.0
15.0,0.5,5.0,0.27,0.0,0.0
15.0,0.5,5.0,0.28,0.0,0.0
15.0,0.5,5.0,0.29000000000000004,0.0,0.0
15.0,0.5,5.0,0.30000000000000004,0.0,0.0
15.0,0.5,5.0,0.31000000000000005,0.0,0.0
15.0,0.5,5.0,0.32000000000000006,0.0,0.0
15.0,0.5,5.0,0.33,0.0,0.0
15.0,0.5,5.0,0.34,0.0,0.0
15.0,0.5,5.0,0.35000000000000003,0.0,0.0
15.0,0.5,5.0,0.36000000000000004,0.0,0.0
15.0,0.5,5.0,0.37000000000000005,0.0,0.0
15.0,0.5,5.0,0.38000000000000006,0.0,0.0
15.0,0.5,5.0,0.39000000000000007,0.0,0.0
15.0,0.5,5.0,0.4000000000000001,0.0,0.0
15.0,0.5,5.0,0.4100000000000001,0.0,0.0
15.0,0.5,5.0,0.42000000000000004,0.0,0.0
15.0,0.5,5.0,0.43000000000000005,0.0,0.0
15.0,0.5,5.0,0.44000000000000006,0.0,0.0
15.0,0.5,5.0,0.45000000000000007,0.0,0.0
15.0,0.5,5.0,0.4600000000000001,0.0,0.0
15.0,0.5,5.0,0.4700000000000001,0.0,0.0
15.0,0.5,5.0,0.4800000000000001,0.0,0.0
15.0,0.5,5.0,0.49000000000000005,0.0,0.0
15.0,0.5,5.0,0.5000000000000001,0.0,0.0
15.0,0.5,8.0,0.05,0.0,0.0
15.0,0.5,8.0,0.060000000000000005,0.0,0.0
15.0,0.5,8.0,0.07,0.0,0.0
15.0,0.5,8.0,0.08000000000000002,0.0,0.0
15.0,0.5,8.0,0.09000000000000001,0.0,0.0
15.0,0.5,8.0,0.1,0.0,0.0
15.0,0.5,8.0,0.11000000000000001,0.0,0.0
15.0,0.5,8.0,0.12000000000000001,0.0,0.0
15.0,0.5,8.0,0.13,0.0,0.0
15.0,0.5,8.0,0.14,0.0,0.0
15.0,0.5,8.0,0.15000000000000002,0.0,0.0
15.0,0.5,8.0,0.16000000000000003,0.0,0.0
15.0,0.5,8.0,0.17000000000000004,0.0,0.0
15.0,0.5,8.0,0.18000000000000005,0.0,0.0
15.0,0.5,8.0,0.19,0.0,0.0
15.0,0.5,8.0,0.2,0.0,0.0
15.0,0.5,8.0,0.21000000000000002,0.0,0.0
15.0,0.5,8.0,0.22000000000000003,0.0,0.0
15.0,0.5,8.0,0.23000000000000004,0.0,0.0
15.0,0.5,8.0,0.24000000000000005,0.0,0.0
15.0,0.5,8.0,0.25000000000000006,0.0,0.0
15.0,0.5,8.0,0.26000000000000006,0.0,0.0
15.0,0.5,8.0,0.27,0.0,0.0
15.0,0.5,8.0,0.28,0.0,0.0
15.0,0.5,8.0,0.29000000000000004,0.0,0.0
15.0,0.5,8.0,0.30000000000000004,0.0,0.0
15.0,0.5,8.0,0.31000000000000005,0.0,0.0
15.0,0.5,8.0,0.32000000000000006,0.0,0.0
15.0,0.5,8.0,0.33,0.0,0.0
15.0,0.5,8.0,0.34,0.0,0.0
15.0,0.5,8.0,0.35000000000000003,0.0,0.0
15.0,0.5,8.0,0.36000000000000004,0.0,0.0
15.0,0.5,8.0,0.37000000000000005,0.0,0.0
15.0,0.5,8.0,0.38000000000000006,0.0,0.0
15.0,0.5,8.0,0.39000000000000007,0.0,0.0
15.0,0.5,8.0,0.4000000000000001,0.0,0.0
15.0,0.5,8.0,0.4100000000000001,0.0,0.0
15.0,0.5,8.0,0.42000000000000004,0.0,0.0
15.0,0.5,8.0,0.43000000000000005,0.0,0.0
15.0,0.5,8.0,0.44000000000000006,0.0,0.0
15.0,0.5,8.0,0.45000000000000007,0.0,0.0
15.0,0.5,8.0,0.4600000000000001,0.0,0.0
15.0,0.5,8.0,0.4700000000000001,0.0,0.0
15.0,0.5,8.0,0.4800000000000001,0.0,0.0
15.0,0.5,8.0,0.49000000000000005,0.0,0.0
15.0,0.5,8.0,0.5000000000000001,0.0,0.0
15.0,0.5,10.0,0.05,0.0,0.0
